Symbol;Units/PAR;Date;Issuer;Issue Name;Weight;Market Value;Currency;Cost;Asset Class;Purchase Date;Symbol Type;Local Price;Price
.ONECAD;1226,51;2023-03-27;Canadian Dollar;Canadian Dollar;1,029856268;1226,51;CAD;0;Cash;2023-03-27;;1;1
ABX.TO;176;2023-03-27;BARRICK GOLD CORP;Barrick Gold Ord Shs;3,75954509;4477,44;CAD;20,67409;Equity;2023-03-27;;25,44;25,44
AEM.TO;46;2023-03-27;AGNICO EAGLE MINES LTD;Agnico Eagle Mines Ord Shs;2,740797577;3264,16;CAD;58,64444;Equity;2023-03-27;;70,96;70,96
ATD.TO;66;2023-03-27;ALIMENTATION COUCHE-TARD INC;Alimentation Couche Tard Ord Shs;3,583316414;4267,56;CAD;58,56905;Equity;2023-03-27;;64,66;64,66
BAM.TO;16;2023-03-27;BROOKFIELD ASSET MANAGEMENT LTD;Brookfield Asset Management Voting Ord Shs Class A;0,572314969;681,6;CAD;42,85;Equity;2023-03-27;;42,6;42,6
BCE.TO;64;2023-03-27;BCE INC;BCE Ord Shs;3,266763094;3890,56;CAD;59,39;Equity;2023-03-27;;60,79;60,79
BIP_u.TO;16;2023-03-27;BROOKFIELD INFRASTRUCTURE PARTNERS LP;Brookfield Infrastructure Partners Units;0,58655567;698,56;CAD;47,43;Equity;2023-03-27;;43,66;43,66
BMO.TO;23;2023-03-27;BANK OF MONTREAL;Bank of Montreal Ord Shs;2,240416621;2668,23;CAD;123,98;Equity;2023-03-27;;116,01;116,01
BN.TO;70;2023-03-27;BROOKFIELD CORP;Brookfield Ord Shs Class A;2,418064329;2879,8;CAD;53,71;Equity;2023-03-27;;41,14;41,14
BNS.TO;42;2023-03-27;BANK OF NOVA SCOTIA;Bank of Nova Scotia Ord Shs;2,322258669;2765,7;CAD;66,97;Equity;2023-03-27;;65,85;65,85
CCLb.TO;3;2023-03-27;CCL INDUSTRIES INC;CCL Industries Ord Shs Class B;0,162878019;193,98;CAD;65,25;Equity;2023-03-27;;64,66;64,66
CCO.TO;60;2023-03-27;CAMECO CORP;Cameco Ord Shs;1,665557471;1983,6;CAD;31,88;Equity;2023-03-27;;33,06;33,06
CM.TO;36;2023-03-27;CANADIAN IMPERIAL BANK OF COMMERCE;Canadian Imperial Bank of Commerce Ord Shs;1,712713;2039,76;CAD;60,11;Equity;2023-03-27;;56,66;56,66
CNQ.TO;57;2023-03-27;CANADIAN NATURAL RESOURCES LTD;Canadian Natural Resources Ord Shs;3,378975788;4024,2;CAD;76,40733;Equity;2023-03-27;;70,6;70,6
CNR.TO;17;2023-03-27;CANADIAN NATIONAL RAILWAY CO;Canadian National Railway Ord Shs;2,228359046;2653,87;CAD;156,57;Equity;2023-03-27;;156,11;156,11
CP.TO;30;2023-03-27;CANADIAN PACIFIC RAILWAY LTD;Canadian Pacific Railway Ord Shs;2,599347783;3095,7;CAD;96,56;Equity;2023-03-27;;103,19;103,19
CSU.TO;1;2023-03-27;CONSTELLATION SOFTWARE INC;Constellation Software Ord Shs;2,007930458;2391,35;CAD;1897,02;Equity;2023-03-27;;2391,35;2391,35
CTCa.TO;3;2023-03-27;CANADIAN TIRE CORPORATION LTD;Canadian Tire Ord Shs Class A;0,42200672;502,59;CAD;150,44;Equity;2023-03-27;;167,53;167,53
CVE.TO;42;2023-03-27;CENOVUS ENERGY INC;Cenovus Energy Ord Shs;0,751868714;895,44;CAD;24,46565;Equity;2023-03-27;;21,32;21,32
DOL.TO;35;2023-03-27;DOLLARAMA INC;Dollarama Ord Shs;2,313442197;2755,2;CAD;80,33;Equity;2023-03-27;;78,72;78,72
EMA.TO;34;2023-03-27;EMERA INC;Emera Ord Shs;1,56160707;1859,8;CAD;54,2;Equity;2023-03-27;;54,7;54,7
ENB.TO;74;2023-03-27;ENBRIDGE INC;Enbridge Ord Shs;3,133474834;3731,82;CAD;51,38;Equity;2023-03-27;;50,43;50,43
FM.TO;29;2023-03-27;FIRST QUANTUM MINERALS LTD;First Quantum Minerals Ord Shs;0,690329741;822,15;CAD;23,64;Equity;2023-03-27;;28,35;28,35
FNV.TO;10;2023-03-27;FRANCO-NEVADA CORP;Franco Nevada Ord Shs;1,665305571;1983,3;CAD;164,63;Equity;2023-03-27;;198,33;198,33
FSV.TO;2;2023-03-27;FIRSTSERVICE CORP;FirstService Subordinate Voting Ord Shs;0,30943297;368,52;CAD;171,79;Equity;2023-03-27;;184,26;184,26
FTS.TO;41;2023-03-27;FORTIS INC;Fortis Ord Shs;1,933376694;2302,56;CAD;51,92;Equity;2023-03-27;;56,16;56,16
GIBa.TO;21;2023-03-27;CGI INC;CGI Ord Shs;2,247671318;2676,87;CAD;107,1;Equity;2023-03-27;;127,47;127,47
GIL.TO;8;2023-03-27;GILDAN ACTIVEWEAR INC;Gildan Activewear Ord Shs;0,293210662;349,2;CAD;43,12;Equity;2023-03-27;;43,65;43,65
H.TO;53;2023-03-27;HYDRO ONE LTD;Hydro One Ord Shs;1,65014124;1965,24;CAD;31,95;Equity;2023-03-27;;37,08;37,08
IFC.TO;24;2023-03-27;INTACT FINANCIAL CORP;Intact Financial Ord Shs;3,897585849;4641,84;CAD;198,2221;Equity;2023-03-27;;193,41;193,41
IMO.TO;2;2023-03-27;IMPERIAL OIL LTD;Imperial Oil Ord Shs;0,106637325;127;CAD;69,354;Equity;2023-03-27;;63,5;63,5
K.TO;240;2023-03-27;KINROSS GOLD CORP;Kinross Gold Ord Shs;1,20307055;1432,8;CAD;5,87;Equity;2023-03-27;;5,97;5,97
L.TO;8;2023-03-27;LOBLAW COMPANIES LTD;Loblaw Companies Ord Shs;0,781156194;930,32;CAD;110,3;Equity;2023-03-27;;116,29;116,29
MFC.TO;140;2023-03-27;MANULIFE FINANCIAL CORP;Manulife Financial Ord Shs;2,861238978;3407,6;CAD;22,26;Equity;2023-03-27;;24,34;24,34
MG.TO;10;2023-03-27;MAGNA INTERNATIONAL INC;Magna International Ord Shs;0,579032281;689,6;CAD;71,56;Equity;2023-03-27;;68,96;68,96
MRU.TO;41;2023-03-27;METRO INC;Metro Ord Shs;2,435311027;2900,34;CAD;69,98;Equity;2023-03-27;;70,74;70,74
NA.TO;28;2023-03-27;NATIONAL BANK OF CANADA;National Bank of Canada Ord Shs;2,178726509;2594,76;CAD;89,14;Equity;2023-03-27;;92,67;92,67
NTR.TO;29;2023-03-27;NUTRIEN LTD;Nutrien Ord Shs;2,399961174;2858,24;CAD;113,15;Equity;2023-03-27;;98,56;98,56
OTEX.TO;13;2023-03-27;OPEN TEXT CORP;Open Text Ord Shs;0,554404936;660,27;CAD;37,45;Equity;2023-03-27;;50,79;50,79
POW.TO;100;2023-03-27;POWER CORPORATION OF CANADA;Power Corporation of Canada Ord Shs;2,908596026;3464;CAD;32,51;Equity;2023-03-27;;34,64;34,64
PPL.TO;15;2023-03-27;PEMBINA PIPELINE CORP;Pembina Pipeline Ord Shs;0,527980711;628,8;CAD;45,656;Equity;2023-03-27;;41,92;41,92
QSR.TO;15;2023-03-27;RESTAURANT BRANDS INTERNATIONAL INC;Restaurants Brands International Ord Shs;1,0782545;1284,15;CAD;75,72;Equity;2023-03-27;;85,61;85,61
RCIb.TO;21;2023-03-27;ROGERS COMMUNICATIONS INC;Rogers Communications Non-Voting Ord Shs Class B;1,106643539;1317,96;CAD;52,68;Equity;2023-03-27;;62,76;62,76
RY.TO;33;2023-03-27;ROYAL BANK OF CANADA;Royal Bank of Canada Ord Shs;3,513767047;4184,73;CAD;125,52;Equity;2023-03-27;;126,81;126,81
SAP.TO;5;2023-03-27;SAPUTO INC;Saputo Ord Shs;0,14278486;170,05;CAD;32,55;Equity;2023-03-27;;34,01;34,01
SLF.TO;61;2023-03-27;SUN LIFE FINANCIAL INC;Sun Life Financial Ord Shs;3,146414055;3747,23;CAD;56,94;Equity;2023-03-27;;61,43;61,43
SU.TO;40;2023-03-27;SUNCOR ENERGY INC;Suncor Energy Ord Shs;1,33640919;1591,6;CAD;44,2595;Equity;2023-03-27;;39,79;39,79
T.TO;111;2023-03-27;TELUS CORP;Telus Ord Shs;2,544433758;3030,3;CAD;27,96;Equity;2023-03-27;;27,3;27,3
TD.TO;35;2023-03-27;TORONTO-DOMINION BANK;Toronto Dominion Ord Shs;2,281115134;2716,7;CAD;87,416;Equity;2023-03-27;;77,62;77,62
TECKb.TO;19;2023-03-27;TECK RESOURCES LTD;Teck Resources Subordinate Voting Class B Ord Shs;0,769123809;915,99;CAD;46,42963;Equity;2023-03-27;;48,21;48,21
TOU.TO;10;2023-03-27;TOURMALINE OIL CORP;Tourmaline Oil Ord Shs;0,458372567;545,9;CAD;77,66818;Equity;2023-03-27;;54,59;54,59
TRI.TO;10;2023-03-27;THOMSON REUTERS CORP;Thomson Reuters Ord Shs;1,466053309;1746;CAD;141,73;Equity;2023-03-27;;174,6;174,6
TRP.TO;22;2023-03-27;TC ENERGY CORP;TC Energy Ord Shs;0,960575593;1144;CAD;57,9;Equity;2023-03-27;;52;52
WCN.TO;17;2023-03-27;WASTE CONNECTIONS INC;Waste Connections Ord Shs;2,618332585;3118,31;CAD;178,08;Equity;2023-03-27;;183,43;183,43
WN.TO;16;2023-03-27;GEORGE WESTON LTD;George Weston Ord Shs;2,237805266;2665,12;CAD;145,05;Equity;2023-03-27;;166,57;166,57
WPM.TO;49;2023-03-27;WHEATON PRECIOUS METALS CORP;Wheaton Precious Metals Ord Shs;2,658695233;3166,38;CAD;47,11216;Equity;2023-03-27;;64,62;64,62
